席種,早割,前売,当日
'メインSSS席',"5,700円","5,900円","6,500円"
'サポーターズシート一般',"2,000円","2,500円","2,900円"
'メインSS席一般',"4,600円","5,100円","5,600円"
'バックSB席1階一般',"4,100円","4,600円","5,300円"
'バックSC席2階一般',"3,100円","3,400円","3,900円"
'バックSC席1階一般',"3,400円","3,800円","4,400円"
'バックSB席2階一般',"3,700円","4,100円","4,700円"
'メインSA席1階一般',"3,800円","4,200円","4,600円"
'バックSB席1階小中学生',"1,600円","1,800円","2,100円"
'メインSA席2階一般',"3,300円","3,700円","4,100円"
'バック自由席一般',"2,700円","3,000円","3,300円"
'バックSC席1階小中学生',"1,400円","1,500円","1,700円"
'メイン自由席一般',"1,100円","1,200円","1,400円"
'バック自由席小中学生',"2,600円","2,900円","3,300円"
'バックSC席2階小中学生',"1,300円","1,400円","1,600円"
'メインSA席2階小中学生',"1,400円","1,500円","1,700円"
'メインSA席1階小中学生',"1,500円","1,700円","1,900円"
'メインSS席小中学生',"1,800円","2,000円","2,300円"
'バックSB席2階小中学生',"1,400円","1,600円","1,800円"
